L1 Category,L2 Category,L3 Category,L4 Category
Apparel & Accessories,Topwear,T shirts,T-Shirt
"Laptops, Electronics and Accessories",Headphones,Over ear headphones,Headphone
"Laptops, Electronics and Accessories",Headphones,EarPhones,Earphone
Apparel & Accessories,Bottomwear,Trousers,Trouser
Apparel & Accessories,Topwear,Tops/Tunics,Blouse
"Laptops, Electronics and Accessories",Speakers,Bluetooth Speakers,Bluetooth Speaker
Apparel & Accessories,Bottomwear,Jeans,Jeans
Apparel & Accessories,"Indian, Festive and Ethnic wear",Sarees,Sarees
"Laptops, Electronics and Accessories",Watches,Digital Watch,Watch
Apparel & Accessories,Topwear,Shirts,Shirt
Apparel & Accessories,"Indian, Festive and Ethnic wear",Kurtas and Kurta sets,Kurta
"Mobiles, Tablets, Mobile Accessories",Mobiles,Mobiles,Smartphone
Apparel & Accessories,"Indian, Festive and Ethnic wear",Kurtis,Kurti
Apparel & Accessories,Eye Wear,Sunglasses,Sunglass
Footwear,Shoes,Casual Shoes,Casual Shoe
Footwear,Flip - flops,Slippers,Slippers
Apparel & Accessories,Belts and Wallets,Wallets,Wallet
Apparel & Accessories,Topwear,Dressses/Dungarees/Jumpsuits,Dress
"Mobiles, Tablets, Mobile Accessories",Mobiles,Mobiles,Mobile Phone
Apparel & Accessories,Innerwear & Sleepwear,Briefs ,Underwear
"Mobiles, Tablets, Mobile Accessories",Mobiles,Mobiles,Feature Phone
Footwear,Shoes,Casual Shoes,Sneakers
Apparel & Accessories,Topwear,Shirts,Shirts
"Mobiles, Tablets, Mobile Accessories",Power Banks,Power Banks,Power Bank
Footwear,Boots,Boots,Boots
"Mobiles, Tablets, Mobile Accessories",Cases & Covers,Cases,Mobile Case
"Mobiles, Tablets, Mobile Accessories",Cases & Covers,Cases,Mobile Cover
Apparel & Accessories,Topwear,Sweatshirts,Sweatshirt
Apparel & Accessories,Topwear,Sweatshirts,Sweater
"Mobiles, Tablets, Mobile Accessories",Cases & Covers,Cases,Phone Cover
"Beauty, Cosmetics & Toiletries",Grooming Appliances,Shaver,Shaver
"Beauty, Cosmetics & Toiletries",Grooming Appliances,Trimmer,Trimmer
"Beauty, Cosmetics & Toiletries",Grooming Appliances,Epilator,Epilator
Medicines and Supplements,Health Supplements & Ayush,Multivitamins,Medicine
Apparel & Accessories,Innerwear & Sleepwear,Lingerie,Lingerie
Games & Toys Store and Baby Products,Baby Care & Diapers,Diapers,Diaper
Apparel & Accessories,Bottomwear,Shorts,Shorts
"Beauty, Cosmetics & Toiletries",Bath and Shower,Soap,Soap
"Beauty, Cosmetics & Toiletries",Bath and Shower,Shampoo,Shampoo
Footwear,Shoes,Sports Shoes,Running Shoe
Apparel & Accessories,Innerwear & Sleepwear,Briefs,Innerwear
