airwaybill_number,item_description,inscan_date,shipper_id
1," TECHNICAL SELLER in-Ear Wired Earphone, 1.2m Tangle Free Cable, in-Line Mic, Noise Isolation 3.5mm Aux Port and High Bass, for All Android & iOS Devices(White)",8/13/2020 0:00,25
2, Sobo Slim Filter WP 408H Hang On Filter Flow Max. 680L/H by Jainsons,8/13/2020 0:00,50
3, Fabiano Appliances G-400El(Bfy) Designer Glass Cooktop Gas Stove Lpg Use Only,8/13/2020 0:00,75
4, Faces: A chilling thriller of loyalty and betrayal,8/13/2020 0:00,100
5, FESTIVAL HOME FURNISHINGS Polycotton 400TC Diwan Set (60X90 Inch Bedsheet 16x16inch Cushion Covers 18x28 inch Bolster Covers) Floral,8/13/2020 0:00,125
6, PRIDHI 140 TC Cotton Single Bedsheet with 1 Pillow Cover (multicolour24_ 60*90 inch),8/13/2020 0:00,150
7, WINSTAR Stainless Steel 4 Shelf Wall Mount Kitchen Utensils Rack Dish Rack with Plate & Cutlery Stand Modular Kitchen Storage Rack Kitchen Organizer (18x24 inches),8/13/2020 0:00,175
8, DRIZE Finest Honda CB Shine Bike Cover Waterproof with Ultra Surface Body Protection (Navy Look),8/13/2020 0:00,200
9, FABZONE Baby Thermal Set of Front Open Top and Lower Pyjama Winter Wear Full Slevees Body Warmer (6-9 Months) Blue,8/13/2020 0:00,225
10," MICAMOUNT Rajah Ayurveda Rootz Herbal Shampoo Purely Natural Hair Treatment, 100 ml - Pack of 4",8/13/2020 0:00,250
11, Liberty Coolers COOL99-120 Men's Formal Slippers Brown,8/13/2020 0:00,275
12," OPTIMA Disposable Face Mask 3Ply Non Woven,Elastic Ear-Loop Blue,Pack of 100",8/13/2020 0:00,300
13, Posshusa Backpack for Women Stylish Women Backpack Latest School Bag for Girls (Blue),8/13/2020 0:00,325
14," Quality Glass Glass Wall Mirror (12 x 36 \xa0inch, Silver).",8/13/2020 0:00,350
15, GLUN 40W Submersible Pump Lift Water Upto 8 Feet with Thermal over Load Technology,8/13/2020 0:00,375
16,Ds Creation Red Rayon A-line Kurti (Size: XL),8/13/2020 0:00,400
17," ABONY Cotton Hand Towel (40x60 cm, White)",8/13/2020 0:00,425
18, Flyer Men's Leather Belt (Formal/Casual) Branded (Colour -Brown) (Size -38) Stylish Buckle Adjustable Size Genuine Leather (2 Year Warranty) (MADE IN INDIA),8/13/2020 0:00,450
19, WOTRA Mop Spin Mop Steel S324 Mop Easy Life Floor Cleaning-(Color As Per Availability)Auto Cleaning Microfiber Dusting Mop For Car (Color May Vary),8/13/2020 0:00,475
20," Case Creation Series -Safety Face Shield Transparent Full Face,Anti-Saliva Protective Hat,Reusable Breathable Visor Windproof Dustproof Hat Shield with Protective Film Elastic Band -Pack of 2",8/13/2020 0:00,500
21,"Saara Printed, Floral Print Kanjivaram Cotton Silk Saree",8/13/2020 0:00,525
22, Nutraj California Walnut Kernels 500g (2 X 250g),8/13/2020 0:00,550
23,Tupperware Square Refrigerator Container Cool N Fresh 450ml 2pc (Color: Pink  No Of Pieces: 2),8/13/2020 0:00,575
24," Honey Traders 2 Piece Eyelet Polyster Window Curtain - 5ft, Multi-Brown",8/13/2020 0:00,600
25," Yellow WeavesCombo of Exclusive Decorative Fridge Top Cover, 2 Fridge Handle Covers   3 Fridge Mats (Multi Color, 6 Piece Set)",8/13/2020 0:00,625
26,CENTY Fortune,8/13/2020 0:01,650
27, Top and Town Customize Black Hero Vinyl Tank Pad,8/13/2020 0:01,675
28," Haldiram's Nagpur Dodha Burfee, 500 g",8/13/2020 0:01,700
29, CINAGRO - Drip Irrigation Garden Watering 120 Plants Drip Kit,8/13/2020 0:01,725
30," Shivam_Enterprises_ Round Plastic Scrubber (Large, Multicolour) - Set of 6",8/13/2020 0:01,750
31," Honey Traders Premium Plain Eyelet Lace Window Curtains of 1 Piece - 5ft (Wine, 4 x 5)",8/13/2020 0:01,775
32, WINSTAR Stainless Steel 4 Shelf Wall Mount Kitchen Utensils Rack Dish Rack with Plate & Cutlery Stand Modular Kitchen Storage Rack Kitchen Organizer (18x24 inches),8/13/2020 0:01,800
33, Men's Slim Fit Trackpants (sai-002_Navy Blue_Medium),8/13/2020 0:01,825
34,"Syska 20000 mAh Power Bank (Fast Charging, 10 W)",8/13/2020 0:01,850
35,Tulasi Size:60 Tablets,8/13/2020 0:01,875
36,Himalaya PureHands Advanced Size:2 X 500ml,8/13/2020 0:01,900
37," Elle 18 Color Pops Silk Lipstick -P24, 4.2 gm",8/13/2020 0:01,925
38," TRISHRA Happy Birthday Letter Foil Balloon Set of (Silver) HD Metallic Balloons (Black, Gold and Silver) Pack of 50",8/13/2020 0:01,950
39, LaFille Women's Handbag (Set of 3) (DGN161BL_Blue),8/13/2020 0:01,975
40, Furious Hard Plastic [for Girls Boys] Printed Back Cover for Oppo A12/Oppo A11K/Oppo A7/Oppo A5s,8/13/2020 0:01,1000
41,Atasi International Alloy Jewel Set,8/13/2020 0:01,1025
42,"Saara Printed, Geometric Print, Floral Print Kanjivaram Cotton Silk Saree",8/13/2020 0:01,1050
43," Honey Traders Plain Eyelet Lace Door Curtains of 1 Piece - 7ft (Wine, 4 x 7)",8/13/2020 0:01,1075
44, TEQNEQ 8X Zoom Telescope Lens Kit for Mobile Camer with DSLR Blur Background & Wide Angle Effect Lens Compatible for All Smartphones,8/13/2020 0:01,1100
45, KTCOO Flexible Screen Guard Protector for Xiaomi Mi Band 4 (Pack of 2 Pc),8/13/2020 0:01,1125
46,"Paper Clips, Adhesive Tapes, Ruler Scale, Ruler Scale, Glue & Glue Stick",8/13/2020 0:02,1150
47,TIZUM RedWhite Type C to 3.5mm Stereo Audio Splitter Jack Convertor Phone Converter,8/13/2020 0:02,1175
48," ShopsNice USB Type-C Cable for Samsung Galaxy M31 USB Cable Data Sync Cable Rapid Quick Dash Fast Charging Cable Charger Cable Type-C to USB-A Cable (3.1 Amp, 1 Meter/3.2Ft, White)",8/13/2020 0:02,1200
49," SANA Polyester Synthetic Cotton Filling for Cushion(500 Gm,White)",8/13/2020 0:02,1225
50," MICAMOUNT Rajah Ayurveda Rootz Herbal Shampoo Purely Natural Hair Treatment, 100 ml - Pack of 4",8/13/2020 0:02,1250
